City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,biryusinsk,55.9634,97.8235,-5.67,89,100,10.65,RU,1708022690
299,tympaki,35.0729,24.7685,53.56,80,100,1.01,GR,1708022690
300,mount pearl,47.5166,-52.7813,32.45,98,75,29.93,CA,1708022690
301,chui,-33.6971,-53.4616,77.27,53,82,14.25,UY,1708022691
302,shiyan,32.6475,110.7781,41.68,64,20,1.01,CN,1708022691
303,oroqen zizhiqi,50.5667,123.7167,1.18,95,100,1.95,CN,1708022691
304,swakopmund,-22.6833,14.5333,68.85,79,100,15.75,NA,1708022691
305,santona,43.4439,-3.4576,62.71,96,100,9.33,ES,1708022691
306,ust-nera,64.5667,143.2,-39.26,100,100,1.59,RU,1708022692
307,malmslatt,58.411,15.5165,33.85,97,100,5.75,SE,1708022692
308,remire-montjoly,4.9167,-52.2667,87.84,62,75,13.8,GF,1708022692
309,cidreira,-30.1811,-50.2056,75.94,63,100,15.95,BR,1708022692
310,roma,43.2128,-75.4557,36.09,51,100,6.91,US,1708022508
311,sidi qacem,34.2215,-5.7078,70.02,92,9,7.49,MA,1708022692
312,kununurra,-15.7667,128.7333,78.78,94,71,4.61,AU,1708022692
313,tanjungagung,-3.9333,103.8,75.25,99,100,2.59,ID,1708022693
314,qaqortoq,60.7167,-46.0333,27.01,78,95,8.59,GL,1708022693
315,tiangua,-3.7322,-40.9917,79.34,68,58,7.34,BR,1708022693
316,caleta de carquin,-11.0925,-77.6267,80.85,73,76,11.56,PE,1708022693
317,prado,-17.3411,-39.2208,82.31,77,100,13.82,BR,1708022693
318,al fuwayliq,26.4432,43.2534,68.74,48,0,5.48,SA,1708022693
319,punta del este,-34.9667,-54.95,82.51,64,75,11.99,UY,1708022694
320,sinabang,2.4803,96.3801,80.91,83,97,3.94,ID,1708022694
321,gordonvale,-17.0936,145.7842,78.58,100,91,3.24,AU,1708022694
322,ixtapa,20.7,-105.2,72.63,73,100,0.0,MX,1708022694
323,nogliki,51.8333,143.1667,-21.66,98,24,3.0,RU,1708022694
324,ha tien,10.3833,104.4833,78.69,77,45,6.6,VN,1708022694
325,uravakonda,14.95,77.2667,72.19,51,5,13.51,IN,1708022694
326,melfort,52.8667,-104.6177,-2.07,65,52,4.61,CA,1708022695
327,twon-brass,4.3151,6.2418,84.72,77,76,12.95,NG,1708022695
328,elk,53.8282,22.3647,37.99,88,100,9.8,PL,1708022695
329,la ermita,20.4139,-101.9936,73.49,36,100,2.06,MX,1708022695
330,angren,41.0167,70.1436,51.55,41,100,0.72,UZ,1708022695
331,kabompo,-13.5927,24.2008,73.17,52,100,2.73,ZM,1708022695
332,ploneour-lanvern,47.9,-4.2833,55.72,88,100,8.05,FR,1708022695
333,tromso,69.6496,18.957,26.62,68,75,21.85,NO,1708022696
334,avarua,-21.2078,-159.775,78.85,94,100,14.97,CK,1708022696
335,beau vallon,-20.4189,57.6953,80.83,89,75,4.61,MU,1708022696
336,guanica,17.9716,-66.908,87.64,63,10,5.79,PR,1708022696
337,holualoa,19.6228,-155.9522,74.79,72,20,5.75,US,1708022696
338,constantia,44.1833,28.65,43.7,85,100,20.18,RO,1708022696
339,vila franca do campo,37.7167,-25.4333,64.89,99,87,13.85,PT,1708022697
340,christchurch,-43.5333,172.6333,57.9,81,79,6.91,NZ,1708022697
341,buala,-8.145,159.5921,79.72,87,61,5.37,SB,1708022697
342,tocache,-8.1842,-76.5125,73.58,98,100,0.27,PE,1708022697
343,tupelo,34.2576,-88.7034,68.29,45,0,10.36,US,1708022401
344,cafayate,-26.073,-65.9761,81.39,56,99,9.26,AR,1708022431
345,berbera,10.4396,45.0143,78.26,83,9,8.05,SO,1708022662
346,deridder,30.8463,-93.289,69.35,68,75,0.0,US,1708022649
347,penha,-26.7694,-48.6458,76.87,69,75,8.05,BR,1708022698
